subjects;time;condition;modulation_evoked;amplitude_evoked;RDK_electrodes
1;[250 1000]ms;primed;24.4694429533588;2.17513636297377;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
1;[1000 1750]ms;primed;4.47447485366638;1.91336667865412;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
1;[250 1000]ms;nonprimed;10.1017523696742;1.9579646786054;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
1;[1000 1750]ms;nonprimed;23.1842598734852;2.10481096153816;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
1;[250 1000]ms;not attended;-2.39051685710134;1.97419330078302;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
1;[1000 1750]ms;not attended;-1.09493596775016;2.00455032365838;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[250 1000]ms;primed;20.2486783237392;2.35504115201354;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[1000 1750]ms;primed;3.06095964228574;2.1307280518345;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[250 1000]ms;nonprimed;-12.7145729712195;1.66933878098976;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[1000 1750]ms;nonprimed;-6.08853572340765;1.77921910425232;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[250 1000]ms;not attended;-5.83408358334676;1.72530573586008;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
2;[1000 1750]ms;not attended;7.97528767831547;1.8841302919224;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
3;[250 1000]ms;primed;16.2746678594871;4.85834141859074;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
