subject,FA_proper,CR,FA_proper_rate,FA
1,42,138,0.233333333333333,24
2,50,130,0.277777777777778,33
3,17,163,0.0944444444444444,14
4,33,147,0.183333333333333,2
5,14,166,0.0777777777777778,12
6,26,154,0.144444444444444,33
7,18,162,0.1,17
8,34,146,0.188888888888889,42
9,34,146,0.188888888888889,36
10,28,152,0.155555555555556,34
11,32,148,0.177777777777778,6
12,72,108,0.4,27
13,41,139,0.227777777777778,34
14,37,143,0.205555555555556,23
16,47,133,0.261111111111111,42
17,23,157,0.127777777777778,15
18,81,99,0.45,29
19,26,154,0.144444444444444,6
20,22,158,0.122222222222222,20
21,55,125,0.305555555555556,23
22,10,170,0.0555555555555556,23
